NOM,SECTEUR,VILLE,MAIL
Au rituel des sens,Beauté,Nîmes,auritueldessens@gmail.com
Isabelle en Particulier,Beauté,Nîmes,isabelle.lenoir61@orange.fr
Spa by Clarins La Maison d'Uzès,Beauté,Uzès,spa@lamaisonduzes.fr
La Privadière,Beauté,Garrigues-Sainte-Eulalie,info@privadiere.fr
Le Club des Gentlemen,Beauté,Nîmes,club-des-gentlemen@hotmail.com
Le Loft de Juliette,Beauté,Tavel,contact@leloftdejuliette.com
L'Éphélide,Beauté,Uzès,ephelidebeaute.uzes@gmail.com
L'Atelier de Charlène,Beauté,Uzès,latelierdecharlene30@gmail.com
Anaïs Hardouin,Beauté,Nîmes,anaishardouin@live.fr
Justine Esthétique,Beauté,Beaucaire,justine.sanchis@gmail.com
Les Bains de la Fontaine,Beauté,Nîmes,contact@lesbainsdelafontaine.com
Suite & Spa No Idem,Beauté,Nîmes,contact.no.idem@gmail.com
MANOA,Beauté,Saint-Aunès,manoa.spa@orange.fr
Centre de Beauté des Arceaux,Beauté,Montpellier,alice.watkowski@hotmail.fr
Instant Céladon,Beauté,Sète,instant.celadon@gmail.com
Le Nid'O,Beauté,Montpellier,spa-club7@club-7.fr
04 ST BARBER,Beauté,Béziers,contact@04street-barber.fr
Tout au Féminin,Beauté,Sète,info@toutaufeminin.com
L'Institut by Marine,Beauté,Lunel,Linstitutbymarine@gmail.com
AP Institut,Beauté,Villeneuve-lès-Béziers,ap-institut@outlook.fr
Arislia,Beauté,Saint-Hilaire-de-Brethmas,arislia@hotmail.fr
Zenissens,Beauté,Alès,contact@zenissens.fr
Moun Salon,Beauté,Montpellier,contact@moun-salon.fr
Le Salon Vagabond,Beauté,Saint-André-de-Sangonis,marion.roy-cros@hotmail.fr
Institut Bleu Marine,Beauté,Nîmes,bleumarinecaty@gmail.com
La Récréation Coiffure,Beauté,Montpellier,contact@larecreationcoiffure.com
Magie des Ongles,Beauté,Boujan-sur-Libron,magie.des.ongles@hotmail.fr
Salon Laet'if,Beauté,Sète,coiffure@laetif.com
Natura Esthétique,Beauté,Lunel,naturalunel@sfr.fr
Institut Guinot Nîmes Les Halles,Beauté,Nîmes,parvisevolet@gmail.com
Château St Pierre de Serjac,Beauté,Puissalicon,spa@serjac.com
