NOM,TYPE,VILLE,MAIL
Cabinet Agir,Syndic / Gestion copropriété,Nîmes,general@cabinetagir.com
Tourdiat Gestion,Syndic / Gestion copropriété,Nîmes,syndic@tourdiat.com
Citya Péri,Syndic / Gestion copropriété,Nîmes,yaguera@citya.com
Agence Etoile Heer,Syndic / Gestion copropriété,Nîmes,f.heer@agence-etoile.com
Active Copro,Syndic / Gestion copropriété,Nîmes,contact@activecopro.fr
Tissot Immobilier,Syndic / Gestion copropriété,Nîmes,contact@tissot-immobilier.com
Camilleri Gestion,Syndic / Gestion copropriété,Nîmes,contact@camilleri-gestion.com
Patrimoine et Habitat,Syndic / Gestion copropriété,Nîmes,accueil@patrimoine-habitat.fr
Quadrigimmo,Syndic / Gestion copropriété,Nîmes,immobilier@quadrigimmo.fr
H4 Immobilier,Syndic / Gestion copropriété,Nîmes,contact@h4-immobilier.fr
AD Immobilier,Syndic / Gestion copropriété,Nîmes,contact@agence-nimes.com
BDGI,Syndic / Gestion copropriété,Nîmes,contact@agence-bdgi.com
MTI Immobilier,Syndic / Gestion copropriété,Nîmes,contact@mtiimmobilier.com
Salanié Immobilier,Syndic / Gestion copropriété,Nîmes,salanie.immobilier@wanadoo.fr
L'Etoile Immobilier Orpi Safim,Syndic / Gestion copropriété,Nîmes,contact@etoile-immobilier.fr
Safim Immobilier Orpi,Syndic / Gestion copropriété,Nîmes,safim@orpi.com
Guy Hoquet Caveirac,Syndic / Gestion copropriété,Caveirac,caveirac@guyhoquet.com
BLB Immobilier TEMIC,Syndic / Gestion copropriété,Vauvert,transaction@blbimmo.com
Teyssier Immobilier,Syndic / Gestion copropriété,Beaucaire,contact@teyssier-immobilier.com
JG Expertise Jacques Gaudibert,Syndic / Gestion copropriété,Nîmes,contact@jg-expertise.com
Ausset Immobilier,Syndic / Gestion copropriété,Nîmes,contact@ausset.com
Pomies Immobilier,Syndic / Gestion copropriété,Nîmes,pierre@pomies-immobilier.fr
Cabinet PLH Gestion et Conseils,Syndic / Gestion copropriété,Nîmes,contact@cabinetplh.fr
Foncia Castellum,Syndic / Gestion copropriété,Nîmes,castellum@foncia.fr
Cogefim Bama Services,Syndic / Gestion copropriété,Nîmes,contact@cogefim-immobilier.fr
Cabinet Agir Transactions,Syndic / Gestion copropriété,Nîmes,transaction@cabinetagir.com
Syndic Actif,Syndic / Gestion copropriété,Nîmes,contact@syndicactif.com
AZ Foncier,Syndic / Gestion copropriété,Nîmes,azfoncier@orange.fr
FG Immobilier,Syndic / Gestion copropriété,Nîmes,matthieu@fg-immo.fr
Capitelles Immobilier,Syndic / Gestion copropriété,Nîmes,contact@capitelles-immobilier.com
Conception Immo,Syndic / Gestion copropriété,Nîmes,contact@conceptionimmo.com
Montaury Immobilier,Syndic / Gestion copropriété,Nîmes,contact@montaury-immobilier.com
MPC Michel Pouget Conseils,Syndic / Gestion copropriété,Nîmes,accueil@mpcimmobilier.com
Nimea Immobilier,Syndic / Gestion copropriété,Nîmes,contact@nimea.fr
Côté Pierres Immobilier,Syndic / Gestion copropriété,Nîmes,contact@cotepierres-immobilier.com
Maison Bazin,Syndic / Gestion copropriété,Nîmes,contact@maisonbazin.fr
Caveirac Immobilier,Syndic / Gestion copropriété,Caveirac,caveirac.immobilier@orange.fr
Groupe C2i Gestion et Syndic,Syndic / Gestion copropriété,Bouillargues,costieres@groupe-c2i.com
Arthur Loyd Nîmes,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,nimes@arthur-loyd.com
VMIT,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,contact@vmit.fr
Alteirac Invest Procomm,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,alteiracinvest@procomm.fr
Comptoir Immobilier de France Nîmes,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,agence.nimes@cif-immo.com
Tourny Meyer,Gestionnaire de zone / Immobilier d'entreprise,Montpellier,montpellier@tournymeyer.fr
Norman Taylor,Gestionnaire de zone / Immobilier d'entreprise,Montpellier,contact@normantaylor.fr
Baux Locaux,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,contact@baux-locaux.com
Tourdiat Gestion Locaux,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,gerance@tourdiat.com
Agence Grand Nîmes,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,agence@grandnimes.com
Nîmes Immobilier,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,nimes-immobilier@orange.fr
Moreira Immobilier,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,gestion@moreira-immobilier.fr
SAT Société d'Aménagement des Territoires,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,contact@sat-amenagement.com
Territoire 30 SAEM du Gard,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,contact@territoire30.com
GPM Aménagement,Gestionnaire de zone / Immobilier d'entreprise,Montpellier,contact@gpm-amenagement.fr
SE3M,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,contact@se3m.fr
Nîmes Métropole Développement Économique,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,entreprises@nimes-metropole.fr
Association ZI Saint-Césaire,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,info@zi-st-cesaire.org
Association KM Delta Le RéZo,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,info@asso-kmdelta.fr
Association entreprises ZI Grézan,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,reseaux@gard.cci.fr
CCI Gard,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,accueil@gard.cci.fr
Call Entreprises,Gestionnaire de zone / Immobilier d'entreprise,Caissargues,call@call-entreprises.com
AZ Forum Nîmes,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,contact@az-nimes.fr
Les Fleurs Business,Gestionnaire de zone / Immobilier d'entreprise,Nîmes,contact@lesfleursbusiness.fr
Terre d'Argence Immobilier,Gestionnaire de zone / Immobilier d'entreprise,Beaucaire,contact@terre-argence.com
Del'Home Immobilier,Gestionnaire de zone / Immobilier d'entreprise,Bellegarde,contact@delhomeimmobilier.com
Accent du Sud Immobilier,Gestionnaire de zone / Immobilier d'entreprise,Saint-Gilles,contact@accentdusud-immo.com
MG Immobilier Saint-Gilles,Gestionnaire de zone / Immobilier d'entreprise,Saint-Gilles,info@agence-mg-immo.com
Agence de la Costière,Gestionnaire de zone / Immobilier d'entreprise,Vauvert,ag.costiere@hotmail.fr
Orpi Costières Immobilier,Gestionnaire de zone / Immobilier d'entreprise,Caissargues,costieresimmobilier@orpi.com
Orpi Vauvert Immobilier,Gestionnaire de zone / Immobilier d'entreprise,Vauvert,vm.vauvertimmobilier@orpi.com
RF Immo 30,Gestionnaire de zone / Immobilier d'entreprise,Caissargues,contact@rfimmo30.com
Méditerranée Distribution Logistique,Transport / Logistique,Nîmes,contact@mdl30.fr
Sud Logistique Services,Transport / Logistique,Manduel,contact@groupe-ximenis.com
Transports Gentes,Transport / Logistique,Nîmes,karen.boisson@groupe-ximenis.com
Bert Nîmes,Transport / Logistique,Garons,communication@bert.fr
